"﻿Código Plan";Carrera;Cohorte;"Número de alumno";Bloqueo;"Causal Bloqueo";RUN;DV;Nombres;;"Primer Apellido";"Segundo Apellido";Logro;"Fecha Logro";"Última Carga"
HW2;Magia;2016-01;385717;S;"ALUMNO CON DEUDA MOROSA";23225815;0;FABRIZZIO;JOCELINE;LAUBREAUX;MÁRQUEZ;INGRESO;2016-01;
HP1;Magia;1996-01;466747;S;"BLOQUEO POR NO INSCRIPCION";17528615;5;HIPOLITO;MARSELLA;MONSALVES;GUTIÈRREZ;INGRESO;1996-01;2001-01
HP1;Magia;2000-01;616664;S;"ALUMNO EGRESADO";19128125;3;GRISSEL;LADY;AHUMADA;JORDAN;"SEGUNDO AÑO";2005-01;2005-01
HW1;Magia;2000-01;496225;S;"BLOQUEO POR NO INSCRIPCION";19300146;3;DELACRUZ;KAROLAY;MAYER;RUBI;"QUINTO AÑO - EGRESO";2006-02;2006-02
HP1;Magia;1996-01;647823;S;"ALUMNO EGRESADO";7995067;7;ALE;DOMITILA;HERNANDEZ;PLAZA;"QUINTO AÑO- EGRESO";2000-01;2000-01
HW1;Magia;2002-01;627055;S;"ALUMNO EGRESADO";18360501;K;FERNANDEZ;VISCONDE;SAMPIERI;BERNAL;"QUINTO AÑO - EGRESO";2006-01;2006-01
HW2;Magia;2006-01;608349;S;"SUSPENSION DE ESTUDIOS";14742225;1;MICHELL;ANGELI;PITRÓN;FLOR;INGRESO;2006-01;
HW1;Magia;2002-01;465019;S;"ALUMNO CON DEUDA MOROSA";25770826;8;REYNALDO;AILYN;URIBE;COMTE;"SEGUNDO AÑO";2004-01;2008-02
HW1;Magia;2008-02;601829;S;"ALUMNO LICENCIADO";19095126;2;MARKO;MIKAIL;PENNA;LANTADILLA;"QUINTO AÑO - EGRESO";2009-01;2009-01
HP1;Magia;1998-01;456399;S;"ALUMNO CON DEUDA MOROSA";12821659;7;NIKKA;ERIK;"SAN MARTÍN";LLANCAFIL;"SEGUNDO AÑO";2002-01;2002-01
HP1;Magia;1993-01;593355;S;"ALUMNO EGRESADO";16720348;0;SANDRINO;ROSITA;BERMÚDEZ;BERNALES;"QUINTO AÑO- EGRESO";1999-01;1999-01
HW1;Magia;2004-01;388632;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";18186673;9;ANAVÌ;KERREY;ACHIARDI;ANDRIANOFF;INGRESO;2004-01;2004-01
HP1;Magia;1998-01;625491;S;"ALUMNO EGRESADO";7005313;8;GIANITZA;YASNINA;"COSTA DEL RIO";ERBS;"SEGUNDO AÑO";1998-01;2000-02
HP1;Magia;1998-01;382481;S;"ALUMNO EGRESADO";9150079;6;JULIETH;YOSELIN;FLUXÁ;TAMAYO;"SEGUNDO AÑO";1998-01;2000-01
HP1;Magia;1999-01;477043;S;"CAMBIO DE PLAN O CARRERA";16189779;4;SANDRO;MATTIAS;FERNANDEZ;ROLDÁN;"SEGUNDO AÑO";2002-01;2003-02
HW1;Magia;1999-01;460624;S;"ALUMNO EGRESADO";22201166;4;YERCO;AMINTORE;GREZ;ROSAS;"QUINTO AÑO - EGRESO";2006-01;2006-01
HP1;Magia;1996-01;488808;S;"ALUMNO EGRESADO";8838816;7;STANKO;RENAN;CARRARO;ALBARRAN;"QUINTO AÑO- EGRESO";2001-01;2001-01
HP1;Magia;1999-01;576065;S;"ALUMNO EGRESADO";18469962;7;MARA;KENYERIT;VILLARROEL;FARR;"QUINTO AÑO- EGRESO";2005-01;2005-01
HG2;"Programa Especial de Licenciatura en Hechicería";2024-01;628001;N;"Sin Bloqueo";7903686;1;NATALIE;INTI;RESTOVIC;AROCA;INGRESO;2024-01;
HP1;Magia;1994-01;581144;S;"ALUMNO EGRESADO";22931380;6;PAULETTE;IRENE;MONTANARES;CONDE;"CUARTO AÑO";2003-01;2003-01
HP2;Magia;2006-01;515570;S;"RENUNCIA FINANCIERA";18358532;1;MAURICI;ADOLFO;CASAS-CORDERO;BIANCHI;INGRESO;2006-01;
HW1;Magia;2002-01;533005;S;"ALUMNO EGRESADO";12077721;1;NOEMI;DANILO;MATTE;CÁDIZ;"QUINTO AÑO - EGRESO";2006-01;2006-01
HP1;Magia;1994-01;478073;S;"ALUMNO EGRESADO";21733246;3;ANGELINE;PETER;HIPP;CHACANA;"CUARTO AÑO";2000-01;2000-01
HP1;Magia;1993-01;569149;S;"ALUMNO LICENCIADO";21904941;7;LEOPOLDO;FIDEL;KRAUSS;LINSAMBARTH;"QUINTO AÑO- EGRESO";2000-01;2000-01
HW1;Magia;2003-01;481098;S;"ALUMNO CON DEUDA MOROSA";8134940;8;DARKANYALI;QUETZALI;DEPAUX;GUTIÈRREZ;"PRIMER AÑO";2005-01;2006-01
HP1;Magia;1993-01;500207;S;"ALUMNO EGRESADO";22433728;2;ANAKAREN;SLASHLY;ECHAGÜE;OBREQUE;INGRESO;1993-01;1999-02
HW2;Magia;2010-01;556505;N;"Sin Bloqueo";11264120;3;MARIA-BELEN;ENRIQU;AUGOSTO;GUZMAN;"LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES";2018-02;2018-02
GH1;Magia;2003-01;497036;S;"CAMBIO DE PLAN O CARRERA";5765366;3;CATHERIN;EDMUNDO;VILLALOBOS;WALTON;"CUARTO AÑO";2008-01;2009-01
HP1;Magia;2003-01;579876;S;"ALUMNO EGRESADO";14459282;3;RICHARD;AMY;FUENTEALBA;NAHMÍAS;"QUINTO AÑO- EGRESO";2023-02;2023-02
PH2;Magia;2010-01;405180;S;"ALUMNO CON DEUDA MOROSA";21377143;3;BELIZA;DELC.;ROBLE;CAMPS;INGRESO;2010-01;2010-01
HW1;Magia;2003-01;586134;S;"ALUMNO EGRESADO";4223413;1;BIANCA;RADAMES;GEISSE;ABUDAYE;"TERCER AÑO";2006-01;2008-02
HP1;Magia;1999-01;448149;S;"ALUMNO EGRESADO";9188874;7;FABIOLA;RENATTA;SAPAJ;MORCHIO;"QUINTO AÑO- EGRESO";2004-02;2004-02
HP1;Magia;1997-01;584544;S;"ALUMNO EGRESADO";17592388;7;TONY;GLORIA;OSSES;MURRAY;"QUINTO AÑO- EGRESO";2004-01;2004-01
GH3;Magia;2005-01;391009;S;"ALUMNO CON DEUDA MOROSA";15355275;K;MARLENE;IVAN;HIRANE;ESPINOZA;INGRESO;2005-01;
GH1;Magia;2004-01;398006;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";11058465;8;HERNA;VALENTINO;ARUESTE;MASCARO;"PRIMER AÑO";2004-02;2005-01
GH1;Magia;2003-01;434051;S;"ALUMNO CON DEUDA MOROSA";24027448;6;YOANA;GRIMME;VILIA;BUGMANN;INGRESO;2003-01;
GH1;Magia;2003-01;645030;S;"ALUMNO EGRESADO";10164519;1;JULIETH;WENDY;HUERTA;BUSTAMANTE;"QUINTO AÑO - EGRESO";2007-02;2007-02
GH1;Magia;2003-01;467018;N;"Sin Bloqueo";5690378;K;MARIO;MITZI;LANDEROS;GODOY;"QUINTO AÑO - EGRESO";2009-01;2009-01
HP1;Magia;1994-01;377075;S;"ALUMNO EGRESADO";20724939;2;DIEGO;MACIEL;GEISSE;PORTALES;"PRIMER AÑO";1998-01;1999-02
HP1;Magia;1995-01;408971;S;"ALUMNO LICENCIADO";15607934;5;NAYADETH;DINELLY;CATALAN;ARRUÉ;"QUINTO AÑO- EGRESO";2000-02;2000-02
PH2;Magia;2008-01;456145;S;"ALUMNO CON DEUDA MOROSA";24264346;9;GERALD;THOMAS;ALCAIDE;MICHELL;INGRESO;2008-01;
HW1;Magia;2005-01;397678;S;"ALUMNO EGRESADO";24062869;9;EVELYN;ANDRESSA;FOSTER;ALALLANA;"QUINTO AÑO - EGRESO";2008-01;2008-01
HW1;Magia;1994-01;615747;S;"ALUMNO EGRESADO";6238064;1;LEANDRA;GRISEL;"LA ROSA";BUZETA;"QUINTO AÑO - EGRESO";2009-01;2009-01
HP1;Magia;2001-01;646166;S;"BLOQUEO POR NO INSCRIPCION";5204906;7;FREDD;GASTÓN;TUTELEERS;CALIXTO;"PRIMER AÑO";2001-02;2002-01
HW1;Magia;2001-01;468048;S;"ALUMNO EGRESADO";6170436;0;ROBERT;DELROSARI;SOUSA;ARACENA;"QUINTO AÑO - EGRESO";2005-01;2005-01
HW1;Magia;2002-01;457129;S;"ALUMNO EGRESADO";10395671;9;IÑAKI;CELSO;OCAMPO;NASH;"QUINTO AÑO - EGRESO";2005-02;2005-02
HP1;Magia;1994-01;560100;S;"ALUMNO EGRESADO";24976640;1;ESTEFHANI;MYKAL;POLO;PADILLA;"PRIMER AÑO";1997-01;2000-02
HP1;Magia;1995-01;514904;S;"ALUMNO EGRESADO";16949458;2;GUMER;JOSSELINE;BASSA;RUIZ;"PRIMER AÑO";1998-01;2000-01
HW1;Magia;2004-01;373533;S;"ALUMNO CON DEUDA MOROSA";15176376;1;NURY;JENNIFE;TRASLAVIÑA;THEZA;"SEGUNDO AÑO";2005-01;2006-01
HP1;Magia;1993-01;449341;S;"ALUMNO EGRESADO";24411791;K;ANASTASIA;VICTORIA;BASSA;ECHAGÜE;INGRESO;1993-01;1999-02
HW1;Magia;2003-01;586107;S;"ALUMNO CON DEUDA MOROSA";7791263;9;PEGGY;IVES;VALDENEGRO;BATARCE;"PRIMER AÑO";2004-01;2004-02
HP1;Magia;1993-01;487203;S;"ALUMNO EGRESADO";6227503;1;NASHKA;AZUCENA;GAONA;CASTIBLANCO;"QUINTO AÑO- EGRESO";1998-02;1998-02
HW1;Magia;2008-02;637801;S;"ALUMNO LICENCIADO";14145721;8;CANDY;HELLEN;BINIMELIS;JANO;"QUINTO AÑO - EGRESO";2009-01;2009-01
HP1;Magia;1994-01;571993;S;"ALUMNO EGRESADO";7831332;8;MARINO;CRISTOPHER;SALTORI;BRATTI;"CUARTO AÑO";2000-02;2000-02
HP1;Magia;1993-01;367318;S;"BLOQUEO POR NO INSCRIPCION";13212801;0;ADA;KATYA;MALLEGA;BENEVENTI;"TERCER AÑO";1998-01;2000-02
HW1;Magia;2001-01;501295;S;"ALUMNO CON DEUDA MOROSA";25823683;8;SOHAD;KESSLEY;FRIAS;GIBSON;INGRESO;2001-01;
HW2;Magia;2011-01;541760;S;"ALUMNO CON DEUDA MOROSA";8705264;8;FELIX;GIGLIOLA;LOZAN;CERENIC;INGRESO;2011-01;
HP1;Magia;1996-01;513664;S;"ALUMNO EGRESADO";7178486;1;ALIDA;GENARO;WOSCHION;ALCAÍNO;"TERCER AÑO";1999-01;2001-02
HP1;Magia;1996-01;605646;S;"BLOQUEO POR NO INSCRIPCION";8428076;3;SUSAN;DELC.;SOZA;QUILOBRAN;INGRESO;1996-01;1997-01
HW1;Magia;2002-01;530088;S;"BLOQUEO DE MATRICULA CONSULTAR EN COBRANZAS";14505028;K;GISELLE;PETER;MONTEALEGRE;IRRIBARRA;"PRIMER AÑO";2004-01;2004-01
HP1;Magia;1996-01;543662;S;"BLOQUEO POR NO INSCRIPCION";10411875;3;ZARINA;HANRY;MACKENZIE;RIVAL;"SEGUNDO AÑO";1999-01;2003-01
HP1;Magia;2002-01;480692;S;"ALUMNO EGRESADO";18657169;5;BRIAN;NICOLEPAZ;AVILA;SHEHADEH;"SEGUNDO AÑO";2006-01;2008-01
HP1;Magia;1995-01;642037;S;"BLOQUEO POR NO INSCRIPCION";8703280;4;LISBETH;ALKWIN;ALCA;CALBUYAHUE;"TERCER AÑO";2001-01;2001-02
HP1;Magia;2003-01;520728;S;"ALUMNO EGRESADO";16727528;5;MARSELLA;SIDNEY;TRUJILLO;COTRONEO;"QUINTO AÑO- EGRESO";2006-02;2006-02
HP1;Magia;1996-01;468772;S;"ALUMNO EGRESADO";6249568;3;VERÓNICA;AMARU;TORAN;ESTATOPULOS;"CUARTO AÑO";2001-01;2002-01
HW1;Magia;2004-01;561521;S;"ALUMNO EGRESADO";5161264;2;FRANKO;MARTIN;REYNOLDS;ORTÚZAR;"QUINTO AÑO - EGRESO";2005-01;2005-01
HP1;Magia;2003-01;571701;S;"ALUMNO EGRESADO";21445888;6;DELCA;JOSEFA;BETTIZ;BARDALES;"SEGUNDO AÑO";2005-01;2007-02
HP1;Magia;2002-01;529785;S;"ALUMNO LICENCIADO";12403422;3;JOSÉ;LUISIN;HORTA;EGNEN;"QUINTO AÑO- EGRESO";2002-02;2002-02
HW2;Magia;2005-01;424102;S;RENUNCIA;14176995;1;ANTOLINA;KATHLEEN;WAGHORN;COLLONAO;INGRESO;2005-01;
GH1;Magia;2008-02;650080;S;"ALUMNO CON DEUDA MOROSA";8778870;0;STEPAHANIE;WINNIE;NIEVAS;TILLERIAS;INGRESO;2008-02;
GH1;Magia;2003-01;571026;S;"ALUMNO CON DEUDA MOROSA";7146780;7;CAMILLE;AYLINE;CUADRA;OTSU;"PRIMER AÑO";2003-02;2004-01
GH1;Magia;2003-01;465043;S;"SUSPENSION DE ESTUDIOS";12721725;2;URSULA;BERNABÉ;BRATTI;GANGA;INGRESO;2003-01;
HP1;Magia;1996-01;408807;S;"ALUMNO EGRESADO";15120097;4;DAMARY;NAIV;OSORES;ALDEA;"QUINTO AÑO- EGRESO";2005-01;2005-01
HP1;Magia;1998-01;395271;S;"BLOQUEO POR NO INSCRIPCION";9103520;0;MIREYA;SLOMITT;TARRAGÓ;PEDRAZA;"CUARTO AÑO";2004-01;2005-02
HP1;Magia;1995-01;384977;S;"ALUMNO CON DEUDA MOROSA";22985984;7;CONSTANZA;MATTHIAS;SELEME;MAQUIEIRA;"QUINTO AÑO- EGRESO";2003-02;2003-02
HP1;Magia;2000-01;413318;S;"ALUMNO EGRESADO";17861297;8;HUMBERT;MAGNO;MENDOZA;VELIZ;"SEGUNDO AÑO";2003-01;2005-02
HP1;Magia;1994-01;515166;S;"ALUMNO EGRESADO";25081980;6;EDGAR;KAREM;"DE LA PAZ";HERREROS;"CUARTO AÑO";2000-01;2001-01
HP1;Magia;1998-01;435330;S;"ALUMNO EGRESADO";22541485;2;NOLGIA;MARIAPIA;ARROYUELO;ZAVALA;"QUINTO AÑO- EGRESO";2002-01;2002-01
HP1;Magia;1994-01;484158;S;"ALUMNO EGRESADO";14642012;6;HERIBERTO;OLDENIS;HUENCHUÑAN;"CANALES DE LA CERDA";"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1995-01;415972;S;"ALUMNO EGRESADO";20402907;2;MARIE;ANALY;TRONCOSO;TABORGA;"PRIMER AÑO";1997-01;1999-02
HW2;Magia;2013-02;383358;S;"ALUMNO CON DEUDA MOROSA";6796922;1;ANDREAS;VERON;VIZANSKIS;MOHOR;INGRESO;2013-02;
HP1;Magia;2002-01;366869;S;"CAMBIO DE PLAN O CARRERA";13723559;1;YORDETH;AMANTINA;CORAL;VILLOUTA;"PRIMER AÑO";2002-01;2003-01
HW1;Magia;2002-01;405596;S;"BLOQUEO POR NO INSCRIPCION";11762716;1;JOSEPH;GUISELA;CISTERNA;LEGISOS;"TERCER AÑO";2006-02;2006-02
HP1;Magia;1995-01;475980;S;"ALUMNO EGRESADO";5802950;1;TITO;RICHARD;ANTÚNEZ;PINCHART;"QUINTO AÑO- EGRESO";2001-01;2001-01
HP1;Magia;1997-01;587567;S;"ALUMNO EGRESADO";17779108;1;BELARMINO;CAROLA;REYNOLDS;ZACARIAS;"QUINTO AÑO- EGRESO";2002-01;2002-01
HP1;Magia;1999-01;607025;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";13075538;8;NATALY;RIGOBERTO;MEJÍA;ALLENDES;INGRESO;1999-01;
HP1;Magia;1996-01;424846;S;"BLOQUEO POR NO INSCRIPCION";16130314;2;YANKA;AMAYA;CEJUDO;DINAMARCA;"PRIMER AÑO";1999-01;1999-02
HP1;Magia;1997-01;640578;S;"BLOQUEO POR NO INSCRIPCION";11535101;9;EMILIAN;MITZI;GAMARRA;BILICIC;"PRIMER AÑO";1999-01;2002-01
HP1;Magia;1995-01;602020;S;"ALUMNO EGRESADO";6449489;6;ALONSO;LEONA;CARDEMIL;ROMANO;"QUINTO AÑO- EGRESO";2002-01;2002-01
HP1;Magia;2001-01;413167;S;"ALUMNO EGRESADO";21026196;K;MARIGEN;ANDREAS;ROSSE;COOPMAN;"SEGUNDO AÑO";2003-01;2005-02
HW2;Magia;2007-01;497498;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";16868673;0;GLEN;JOHANA;0;CRISOSTOMO;INGRESO;2007-01;2008-02
HP1;Magia;1995-01;653984;S;"BLOQUEO POR NO INSCRIPCION";24889123;5;KATHALINA;ROMAN;PAPIC;PROVOSTE;"TERCER AÑO";2001-01;2003-01
HW1;Magia;2002-01;605017;S;"ALUMNO EGRESADO";10553171;6;ALEJANDRO;IRMA;CAPOT;VILLALÓN;"QUINTO AÑO - EGRESO";2007-02;2007-02
HP1;Magia;1996-01;434876;S;"ALUMNO EGRESADO";5588567;4;TYARE;DENNISE;BARJA;ORREGO;"QUINTO AÑO- EGRESO";2001-01;2001-01
HW2;Magia;2009-02;515346;N;"Sin Bloqueo";21912797;0;FDO.;INGRID;BENEDETTI;TOMASEVIC;INGRESO;2009-02;2009-02
HP1;Magia;1996-01;501810;S;"ALUMNO EGRESADO";24292247;8;IDA;MIRIAN;APPOLON;LUVECCE;"QUINTO AÑO- EGRESO";2000-02;2000-02
HP1;Magia;1995-01;645983;S;"ALUMNO EGRESADO";13331279;1;DARÍO;STEVEN;ROMERO;MATAMALA;"QUINTO AÑO- EGRESO";2002-01;2002-01
HP1;Magia;1996-01;580639;S;"ALUMNO EGRESADO";11982934;8;FERMIN;FRANCES;ALUCEMA;SOLEMAN;"QUINTO AÑO- EGRESO";2005-01;2005-01
HP1;Magia;2000-01;539339;S;"BLOQUEO POR NO INSCRIPCION";25606058;2;DELCARMEN;IVO;AGUAYO;CAPRA;"PRIMER AÑO";2001-01;2003-01
HW1;Magia;2003-01;583058;S;"ALUMNO EGRESADO";13320887;6;HAROL;HELMIS;GARRIDO;"CORTÉS- MONROY";"QUINTO AÑO - EGRESO";2007-01;2007-01
HW2;Magia;2024-01;422564;N;"Sin Bloqueo";9382692;6;FABRIZIO;ANTHONY;CAMAGGI;PASTEN;INGRESO;2024-01;
HP1;Magia;1994-01;546115;S;"ALUMNO EGRESADO";4551406;3;DRAGICA;ARIKI;PINTO;ASTROZA;"CUARTO AÑO";2001-01;2002-01
HP1;Magia;1996-01;449677;S;"ALUMNO EGRESADO";10591463;9;YAEL;LUISIN;DUARTE;HAILLA;"QUINTO AÑO- EGRESO";2001-01;2001-01
HP1;Magia;1994-01;495118;S;"ALUMNO EGRESADO";10549931;4;FRANCIS;MICHEL;GRIÑO;FISHER;"CUARTO AÑO";2005-01;2005-02
HP1;Magia;1996-01;457867;S;"ALUMNO EGRESADO";5242305;9;YUSSARA;ROBIN;MENESES;ASENCIO;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1996-01;532787;S;"ALUMNO EGRESADO";18291684;6;LYNDA;NOEMIUBE;ARRATIA;MARIANJEL;"QUINTO AÑO- EGRESO";2002-02;2002-02
HW1;Magia;2003-01;470076;S;"BLOQUEO POR NO INSCRIPCION";9928036;0;JUAN;ALAND;RIGUERO;TOURREL;"SEGUNDO AÑO";2003-01;2003-01
HP1;Magia;1995-01;434833;S;"ALUMNO EGRESADO";14873869;3;RAYENT;VANESA;SANPEZE;PERCHERON;"QUINTO AÑO- EGRESO";2000-01;2000-01
HW1;Magia;2002-01;552198;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";11314634;5;FERNAN;ORNELLA;MAURO;CALATAYUD;INGRESO;2002-01;
HP1;Magia;1996-01;609676;S;"ALUMNO EGRESADO";24125450;4;EMELINDA;RALF;ARRIOLA;HOLBUT;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1999-01;497215;S;"ALUMNO EGRESADO";10703285;K;IVANNIA;D.PILAR;RIBBA;ALTAMIRANO;"QUINTO AÑO- EGRESO";2004-01;2004-01
HW2;Magia;2007-01;470605;S;"SUSPENSION DE ESTUDIOS";11472299;8;YAZMÍN;OCTAVIO;MALATESTA;PALOMINO;INGRESO;2007-01;
HP1;Magia;1995-01;555030;S;"ALUMNO EGRESADO";24990536;4;LESLIET;LEONA;RIFO;SALDÍAS;"QUINTO AÑO- EGRESO";2000-02;2000-02
PH2;Magia;2005-01;512012;S;"BLOQUEO POR NO INSCRIPCION";24553531;1;D.PILAR;OSMAN;OLMOS;GAMONAL;"1 SEMESTRE";2005-02;2005-02
HP1;Magia;1995-01;375024;S;"ALUMNO EGRESADO";24628317;6;AURELIO;GUISELLE;MENDEL;VENEGAS;"QUINTO AÑO- EGRESO";2001-01;2001-01
HP1;Magia;2003-01;585779;S;"ALUMNO CON DEUDA MOROSA";23667148;4;ANGELINE;ANTONNELLA;CANTARERO;LYNCH;"SEGUNDO AÑO";2006-01;2006-02
HP1;Magia;1995-01;436889;S;"ALUMNO EGRESADO";8299344;4;YISMARA;CHARLES;BADENIER;FAUNDEZ;"PRIMER AÑO";1998-02;2001-01
HW2;Magia;2007-01;543606;S;RENUNCIA;21423079;7;EVELINE;DOUGLAS;JOZIL;MOYA;INGRESO;2007-01;
PH1;Magia;2022-01;505930;S;RENUNCIA;15612753;3;MILKO;ZILU;UGARTE;OLLARZU;INGRESO;2022-01;
HP1;Magia;1997-01;370551;S;"ALUMNO EGRESADO";15263218;3;LEANDRA;MALENA;MONTANARES;"SAN MARTIN";"QUINTO AÑO- EGRESO";2003-01;2003-01
HP1;Magia;2003-01;625734;S;"ALUMNO EGRESADO";22624771;0;ANISE;MICAELLA;ERBS;URETA;"SEGUNDO AÑO";2004-01;2006-02
HW2;Magia;2006-01;588380;S;"SUSPENSION DE ESTUDIOS";11530289;K;BORIS;FCO.;MONTEALEGRE;MAQUIEIRA;INGRESO;2006-01;2006-01
HP1;Magia;1995-01;643922;S;"ALUMNO EGRESADO";17299941;K;MERCEDES;MAURIC;"SAN ANTONIO";LJUBETICH;"PRIMER AÑO";1998-01;1999-01
HW2;Magia;2007-01;530581;S;"RENUNCIA FINANCIERA";13854439;1;MATHIAS;GUISELL;CATRIFIL;LJUBETICH;INGRESO;2007-01;
HP1;Magia;2001-01;420119;S;"ALUMNO EGRESADO";5783013;5;FRANCOISE;ARANTXA;ARRUÉ;JERIA;"QUINTO AÑO- EGRESO";2007-01;2006-02
HW1;Magia;2004-01;522611;S;"BLOQUEO POR NO INSCRIPCION";8703201;7;CHERY;MARCIA;MARZUQA;VILLARRUEL;"SEGUNDO AÑO";2004-01;2004-02
HP1;Magia;2001-01;508072;S;"ALUMNO EGRESADO";18837642;9;ESTEFANYA;ARLETTE;CORTES;MALAMUD;"QUINTO AÑO- EGRESO";2003-01;2003-01
GH1;Magia;2003-01;483025;S;"ALUMNO EGRESADO";6980371;4;LIZETTE;INÉS;FORES;FASSLER;"QUINTO AÑO - EGRESO";2008-01;2008-02
HP1;Magia;2003-01;423742;S;"ALUMNO LICENCIADO";12343974;1;SERGIO;WALESKA;NUTTERS;TORREALBA;"SEGUNDO AÑO";2007-01;2007-02
HP1;Magia;1995-01;569943;S;"BLOQUEO POR NO INSCRIPCION";7012320;7;LIZANDRO;JONATHAN;ESCANDÓN;LESSER;"SEGUNDO AÑO";1998-02;2000-02
HP1;Magia;1998-01;593485;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";22114486;8;ELESMA;MAGALI;PAIRICÁN;VARGAS;INGRESO;1998-01;
HP1;Magia;1996-01;622685;S;"ALUMNO EGRESADO";21792141;1;AYLIN;WILFREDO;TRITTINI;QUILOBRAN;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1998-01;516269;S;"ALUMNO EGRESADO";15182353;K;KATIA;CATHERIN;MESA;ARAYA;"QUINTO AÑO- EGRESO";2002-02;2002-02
HP1;Magia;1998-01;642419;S;"ALUMNO EGRESADO";21156093;9;EDWARDS;POLETTE;GROS;LAZZERINI;"QUINTO AÑO- EGRESO";2003-01;2003-01
GH3;Magia;2009-01;598103;S;"ALUMNO CON DEUDA MOROSA";14752553;4;ELEONOR;DEBORAH;CARREÑO;GRANADA;INGRESO;2009-01;
HP1;Magia;1996-01;565679;S;"BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION";14229719;K;RIGOBERTO;ELIZALDA;REINIKE;SLEMAN;INGRESO;1996-01;
HP1;Magia;1998-01;442306;S;"ALUMNO LICENCIADO";14085317;3;YENNYFER;GENE;TERRA;GUAITA;"QUINTO AÑO- EGRESO";2004-01;2004-01
HP1;Magia;2001-01;482132;S;"CAMBIO DE PLAN O CARRERA";4595052;9;JAKELIN;JOSELUIS;SCHIFFERLY;VIAL;"PRIMER AÑO";2002-01;2003-01
HW1;Magia;2001-01;412622;S;"ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO";17121627;9;CESAR;SERVANDO;LATTUS;WANDE;"PRIMER AÑO";2004-02;2004-01
HP1;Magia;1999-01;623153;S;"ALUMNO EGRESADO";8668228;2;AUGUSTA;BENITO;PINO;ANCAMIL;"QUINTO AÑO- EGRESO";2005-01;2005-01
HP1;Magia;1999-01;559128;S;"CAMBIO DE PLAN O CARRERA";9069962;9;MADELINE;MARGARITA;REVECO;SEGOVIA;"CUARTO AÑO";2004-01;2004-01
HW1;Magia;1999-01;470656;S;"ALUMNO EGRESADO";6977964;9;NIKOLAS;CRISHNA;MARZUQA;ZACARIAS;"CUARTO AÑO";2005-01;2005-02
HP1;Magia;1996-01;652721;S;"ALUMNO EGRESADO";12695688;6;JOHANN;EILYNE;HARDY;"DAL SANTO";"QUINTO AÑO- EGRESO";2000-01;2000-01
HW2;Magia;2005-01;399118;S;"SUSPENSION DE ESTUDIOS";23663512;7;MARJORY;KAROL;BREVIS;SPAUDO;INGRESO;2005-01;
HP1;Magia;1998-01;404416;S;"BLOQUEO POR NO INSCRIPCION";17115793;7;MILENE;OTONIEL;PIÉROLA;ERICES;"PRIMER AÑO";1998-01;1999-01
HW2;Magia;2008-01;644744;S;"SUSPENSION DE ESTUDIOS";24096767;7;ANDREAS;KATTY;TUDELA;ROZAS;INGRESO;2008-01;
HP1;Magia;1996-01;521857;S;"BLOQUEO POR NO INSCRIPCION";14324334;3;KIMIE;VALENTÍN;MOGLIA;GUAJARDO;"PRIMER AÑO";1998-01;1998-01
HP1;Magia;1996-01;590745;S;"ALUMNO EGRESADO";10870934;0;LISETT;BERNARDA;ORMEÑO;PRADA;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1995-01;381935;S;"ALUMNO EGRESADO";25249103;8;JEREMY;GALIA;LUNA;CANESSA;"QUINTO AÑO- EGRESO";2000-01;2000-01
HW1;Magia;2006-01;589727;S;"ALUMNO LICENCIADO";19598366;2;JAIR;MAURI;ALARCÓN;LUZA;"QUINTO AÑO - EGRESO";2016-01;2016-01
HP1;Magia;1996-01;372776;S;"ALUMNO EGRESADO";12310209;0;ZIDANELIA;NIELSEN;BOCAZ;BETANCOURT;"QUINTO AÑO- EGRESO";2000-01;2000-01
HP1;Magia;1998-01;576260;S;"ALUMNO EGRESADO";21514317;1;DENNISSE;MÓNICA;VARAS;MASSONI;"QUINTO AÑO- EGRESO";2004-01;2004-01
